,country_full_name
BTRR1DAY Index,THAILAND
BUBOR03M Index,HUNGARY
BUBR3M Index,ROMANIA
BZSTSETA Index,BRAZIL
CABROVER Index,CANADA
CHOVCHOV Index,CHILE
COOVIBR Index,COLOMBIA
EURR002W Index,EUROZONE
FDTR Index,UNITED STATES
IDBIRRPO Index,INDONESIA
INRPYLDP Index,INDIA
JIBA3M Index,SOUTH AFRICA
KLIB3M Index,MALAYSIA
KORP7DR Index,SOUTH KOREA
MAOPRATE Index,MALAYSIA
MOSKP3 Index,RUSSIA
MXONBR Index,MEXICO
NOBRDEPA Index,NORWAY
NZOCR Index,NEW ZEALAND
POREANN Index,POLAND
PREF3MO Index,PHILIPPINES
PRIB03M Index,CZECH
PRRRONUS Index,PERU
RBATCTR Index,AUSTRALIA
SARPRT Index,SOUTH AFRICA
SWRRATEI Index,SWEDEN
SZLTDEP Index,SWITZERLAND
TDSF90D Index,TAIWAN
TRLIB3M Index,TURKEY
UKBRBASE Index,BRITAIN
WIBR3M Index,POLAND
