,country_full_name
S0018FC 1Y1D BCAL Curncy,SOUTH AFRICA
S0039FC 1Y1D BCAL Curncy,MALAYSIA
S0041FC 1Y1D BCAL Curncy,TAIWAN
S0042FC 1Y1D BCAL Curncy,UNITED STATES
S0046FC 1Y1D BCAL Curncy,INDIA
S0057FC 1Y1D BCAL Curncy,SOUTH KOREA
S0081FC 1Y1D BCAL Curncy,PHILIPPINES
S0083FC 1Y1D BCAL Curncy,MEXICO
S0089FC 1Y1D BCAL Curncy,BRAZIL
S0133FC 1Y1D BCAL Curncy,EUROZONE
S0141FC 1Y1D BCAL Curncy,BRITAIN
S0147FC 1Y1D BCAL Curncy,CANADA
S0159FC 1Y1D BCAL Curncy,AUSTRALIA
S0164FC 1Y1D BCAL Curncy,TURKEY
S0179FC 1Y1D BCAL Curncy,RUSSIA
S0193FC 1Y1D BCAL Curncy,CHILE
S0198FC 1Y1D BCAL Curncy,NEW ZEALAND
S0225FC 1Y1D BCAL Curncy,ROMANIA
S0254FC 1Y1D BCAL Curncy,SWITZERLAND
S0312FC 1Y1D BCAL Curncy,NORWAY
S0319FC 1Y1D BCAL Curncy,CZECH
S0322FC 1Y1D BCAL Curncy,POLAND
S0324FC 1Y1D BCAL Curncy,HUNGARY
S0329FC 1Y1D BCAL Curncy,COLOMBIA
