,MAOPRATE Index,BTRR1DAY Index,MXONBR Index,PRRRONUS Index,IDBIRRPO Index,SARPRT Index,NZOCR Index,SWRRATEI Index,KORP7DR Index,RBATCTR Index,INRPYLDP Index,POREANN Index,CABROVER Index,BZSTSETA Index,CHOVCHOV Index,FDTR Index,SZLTDEP Index,NOBRDEPA Index,UKBRBASE Index,EURR002W Index,RREFKANN Index,CORRRMIN Index,TUBR1WRA Index,BUBOR03M Index,BUBR3M Index,PRIB03M Index,TDSF90D Index,PREF3MO Index,KLIB3M Index,JIBA3M Index,MXIBTIIE Index,CHIBPROM Index,COOVIBR Index,MOSKP3 Index,TRLIB3M Index,WIBR3M Index
,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last
2020-01-01,3.0,,,,,,,,,,,,1.75,4.5,,1.75,,,0.75,0.0,,4.25,,0.16,,,,,,,,,,,,
2020-01-02,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,,2.18,0.7287,3.034,3.35,6.8,7.5525,1.75,4.114,,11.0218,1.71
2020-01-03,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.03,2.17,0.7287,3.195,3.35,6.8,7.5495,1.75,4.116,,11.0218,1.71
2020-01-06,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.02,2.17,0.7287,3.194,3.35,6.8,7.5475,1.75,,,11.0218,
2020-01-07,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.02,2.17,0.7287,3.302,3.35,6.8,7.545,1.73,4.112,,11.1518,1.71
2020-01-08,3.0,,7.25,2.25,,6.5,,,,,,1.5,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.02,2.17,0.7287,3.3689999999999998,3.34,6.8,7.5425,1.75,4.109,6.45,11.2815,1.71
2020-01-09,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.02,2.17,0.7287,3.3609999999999998,3.33,6.8,7.5425,1.75,4.11,6.42,11.2253,1.71
2020-01-10,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.02,2.17,0.7287,3.401,3.33,6.8,7.5402000000000005,1.75,4.112,6.43,11.1258,1.71
2020-01-13,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.02,2.17,0.7287,,3.33,6.8,7.5381,1.72,4.11,6.45,11.069,1.71
2020-01-14,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.02,2.17,0.7287,3.286,3.33,6.8,7.5375,,4.107,6.47,11.091,1.71
2020-01-15,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.02,2.17,0.7287,3.204,3.33,6.8,7.53,1.75,4.107,6.47,11.0248,1.71
2020-01-16,3.0,,7.25,2.25,,6.5,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,11.25,0.16,3.015,2.17,0.7287,3.149,3.33,6.8,7.525,1.75,4.107,6.47,10.8908,1.71
2020-01-17,3.0,,7.25,2.25,,6.25,,,1.25,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.005,2.17,0.7287,3.066,3.33,6.592,7.53,1.75,4.107,6.45,10.4673,1.71
2020-01-20,3.0,,7.25,2.25,,6.25,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.16,3.0,2.17,0.7287,3.166,3.33,6.567,7.525,1.75,4.105,6.44,10.2328,1.71
2020-01-21,3.0,,7.25,2.25,,6.25,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.17,3.0,2.17,0.7287,3.092,3.32,6.558,7.5225,1.75,4.107,6.44,10.2343,1.71
2020-01-22,2.75,,7.25,2.25,,6.25,,,,,,,1.75,4.5,1.75,1.75,,,0.75,0.0,,4.25,,0.18,3.0,2.17,0.7287,3.036,3.32,6.558,7.5215,1.75,4.107,6.44,10.2313,1.71
