,S0042FC 1Y1D BCAL Curncy,S0147FC 1Y1D BCAL Curncy,S0083FC 1Y1D BCAL Curncy,S0193FC 1Y1D BCAL Curncy,S0089FC 1Y1D BCAL Curncy,S0133FC 1Y1D BCAL Curncy,S0141FC 1Y1D BCAL Curncy,S0254FC 1Y1D BCAL Curncy,S0312FC 1Y1D BCAL Curncy,S0319FC 1Y1D BCAL Curncy,S0322FC 1Y1D BCAL Curncy,S0159FC 1Y1D BCAL Curncy,S0198FC 1Y1D BCAL Curncy,S0046FC 1Y1D BCAL Curncy,S0057FC 1Y1D BCAL Curncy,S0225FC 1Y1D BCAL Curncy,S0324FC 1Y1D BCAL Curncy,S0018FC 1Y1D BCAL Curncy,S0179FC 1Y1D BCAL Curncy,S0329FC 1Y1D BCAL Curncy,S0039FC 1Y1D BCAL Curncy,S0164FC 1Y1D BCAL Curncy,S0041FC 1Y1D BCAL Curncy,S0081FC 1Y1D BCAL Curncy,S0172FC 1Y1D BCAL Curncy,S0020FC 1Y1D BCAL Curncy
,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last,PX_Last
2020-01-01,1.4713,1.6673,6.2129,1.7039,5.3341,-0.495,0.616,-0.7475,1.5244,2.0445,1.4325,0.5673,0.9401,5.0029,1.0006,2.4592,1.1724999999999999,6.2,5.9416,4.5986,2.8778,16.5495,1.1362,4.412,1.2533,-0.3373
2020-01-02,1.4558,1.5963,6.1733,1.7106,5.3074,-0.491,0.6184,-0.7695,1.4901,2.0304,1.4275,0.534,0.923,5.051,0.976,2.4592,1.1724999999999999,6.165,5.9251000000000005,4.5879,2.9,16.0245,1.1339,4.3464,1.2664,-0.3826
2020-01-03,1.3874,1.5543,6.1791,1.7227000000000001,5.2864,-0.5419,0.5867,-0.7779,1.4457,1.9919,1.41,0.4996,0.9015,5.0947,0.9284,2.4377,1.155,6.19,5.9155,4.6138,2.8849,16.7504,1.1297,4.2058,1.2206,-0.4296
2020-01-06,1.3862,1.5935000000000001,6.1859,1.7438,5.3547,-0.5207,0.6023,-0.7706,1.4537,1.9750999999999999,1.41,0.4645,0.8764,5.1958,0.9564,2.4173999999999998,1.1575,6.185,5.8479,4.5992,2.8689,17.125,1.1336,4.2487,1.2667,-0.4228
2020-01-07,1.3788,1.5897000000000001,6.2406,1.7524,5.3274,-0.5419,0.6306,-0.7765,1.4426999999999999,1.9912,1.4902,0.4515,0.8646,5.2095,1.0311,2.3272,1.184,6.22,5.8824,4.6017,2.8687,15.4867,1.1369,4.0658,1.236,-0.4486
2020-01-08,1.4302000000000001,1.6111,6.2327,1.7114,5.2744,-0.5016,0.6467,-0.7822,1.434,1.9886,1.525,0.4527,0.8705,5.1032,1.0633,2.2969,1.2025000000000001,6.215,5.8645,4.5407,2.8729,14.9922,1.1335,4.314,1.234,-0.4448
2020-01-09,1.4184,1.5880999999999998,6.2803,1.6883,5.2287,-0.502,0.6055,-0.7688,1.4385,2.0113,1.5425,0.4593,0.8755,5.133,1.1252,2.3169,1.2,6.1825,5.7231,4.5285,2.88,13.8268,1.1224,4.2476,1.2382,-0.0053
2020-01-10,1.4158,1.6223,6.2368,1.726,5.264,-0.4967,0.5114,-0.7706,1.4481,2.0202,1.5575,0.4729,0.8742,5.129,1.1572,2.3283,1.1925,6.14,5.6399,4.5472,2.8899,12.7399,1.1271,4.2203,1.2423,0.0183
2020-01-13,1.4009,1.6451,6.2771,1.7450999999999999,5.2988,-0.4968,0.4421,-0.7646,1.456,2.0815,1.5975000000000001,0.4752,0.8732,5.14,1.1451,2.3251,1.2375,6.17,5.5828,4.5277,2.8727,12.4248,1.1297,4.2203,1.2322,0.0085
2020-01-14,1.4096,1.599,6.2377,1.7336,5.2404,-0.4963,0.5173,-0.7825,1.4588999999999999,2.0425,1.5503,0.4952,0.8826,5.2059,1.1372,2.4561,1.2214,6.19,5.5654,4.5353,2.8877,12.4443,1.1409,4.4392,1.214,0.0002
2020-01-15,1.4189,1.5821,6.1943,1.6837,5.1206,-0.4946,0.3885,-0.7937,1.4581,2.0282,1.545,0.4771,0.8784,5.2697,1.1203,2.4637000000000002,1.21,6.17,5.5719,4.4873,2.8783,12.7019,1.1345,4.5801,1.2053,-0.0046
2020-01-16,1.4045,1.5814,6.3011,1.6852,5.1841,-0.4929,0.4202,-0.8096,1.4708,2.0142,1.575,0.4785,0.8788,5.2584,1.1712,2.4392,1.2275,5.5173,5.5809999999999995,4.4818999999999996,2.8747,11.6684,1.1265,4.5934,1.2154,-0.0158
2020-01-17,1.4414,1.6187,6.3052,1.6928,5.1043,-0.495,0.4128,-0.8159,1.4683,2.0288,1.5899999999999999,0.4574,0.894,5.2315,1.1748,2.4482,1.2650000000000001,6.018,5.5269,4.466,2.8942,12.9387,1.129,4.682,1.2504,-0.0122
2020-01-20,1.4047,1.5988,6.3237,1.6715,5.228,-0.4869,0.4307,-0.8148,1.4679,2.0266,1.5975000000000001,0.4551,0.9073,5.2177,1.1965,2.3904,1.3125,6.018,5.5436,4.4764,2.8939,14.3931,1.1323,4.6528,1.2461,-0.0086
